,Year,Month,Monthly Anomaly
,1950,1,-2.010
,1950,2,-0.551
,1950,3,-0.310
,1950,4,1.363
,1950,5,-0.141
,1950,6,-0.870
,1950,7,0.141
,1950,8,0.629
,1950,9,0.063
,1950,10,0.232
,1950,11,2.522
,1950,12,2.016
,1951,1,-0.057
,1951,2,-0.540
,1951,3,0.127
,1951,4,-0.374
,1951,5,0.495
,1951,6,-0.946
,1951,7,-1.042
,1951,8,-0.800
,1951,9,-0.549
,1951,10,-0.189
,1951,11,0.230
,1951,12,-0.567
,1952,1,-1.233
,1952,2,-0.547
,1952,3,-1.168
,1952,4,0.669
,1952,5,0.943
,1952,6,-1.889
,1952,7,0.335
,1952,8,-0.446
,1952,9,0.617
,1952,10,0.200
,1952,11,-1.175
,1952,12,0.221
,1953,1,2.246
,1953,2,-0.035
,1953,3,-0.340
,1953,4,-0.447
,1953,5,-1.293
,1953,6,-1.091
,1953,7,0.443
,1953,8,-0.839
,1953,9,0.646
,1953,10,-0.462
,1953,11,0.309
,1953,12,1.135
,1954,1,0.247
,1954,2,-0.188
,1954,3,-1.248
,1954,4,1.704
,1954,5,0.466
,1954,6,-0.217
,1954,7,0.678
,1954,8,-1.602
,1954,9,-0.758
,1954,10,-0.465
,1954,11,-0.355
,1954,12,-1.120
,1955,1,-1.965
,1955,2,-1.403
,1955,3,-0.036
,1955,4,-1.918
,1955,5,0.344
,1955,6,-0.770
,1955,7,-1.139
,1955,8,-0.569
,1955,9,-0.533
,1955,10,-0.335
,1955,11,-0.588
,1955,12,1.282
,1956,1,0.792
,1956,2,-2.110
,1956,3,-0.315
,1956,4,-0.232
,1956,5,0.127
,1956,6,0.510
,1956,7,-0.681
,1956,8,-0.800
,1956,9,-0.033
,1956,10,-1.292
,1956,11,0.362
,1956,12,-0.300
,1957,1,-1.486
,1957,2,0.550
,1957,3,0.559
,1957,4,1.207
,1957,5,0.011
,1957,6,2.015
,1957,7,0.640
,1957,8,-0.358
,1957,9,0.441
,1957,10,-0.520
,1957,11,-0.709
,1957,12,-0.140
,1958,1,0.455
,1958,2,1.666
,1958,3,-1.356
,1958,4,0.686
,1958,5,1.196
,1958,6,0.843
,1958,7,-0.114
,1958,8,1.683
,1958,9,1.919
,1958,10,1.266
,1958,11,0.756
,1958,12,2.485
,1959,1,1.710
,1959,2,-0.614
,1959,3,2.058
,1959,4,2.377
,1959,5,0.178
,1959,6,1.209
,1959,7,1.225
,1959,8,0.568
,1959,9,-0.282
,1959,10,1.756
,1959,11,0.696
,1959,12,0.630
,1960,1,-0.114
,1960,2,-0.011
,1960,3,1.242
,1960,4,0.500
,1960,5,-0.118
,1960,6,2.080
,1960,7,0.752
,1960,8,-0.241
,1960,9,-0.452
,1960,10,-0.537
,1960,11,-0.682
,1960,12,-0.378
,1961,1,-1.111
,1961,2,0.933
,1961,3,-0.182
,1961,4,0.878
,1961,5,-1.268
,1961,6,1.717
,1961,7,1.614
,1961,8,0.951
,1961,9,-0.175
,1961,10,0.148
,1961,11,-0.511
,1961,12,-0.752
,1962,1,-0.811
,1962,2,-1.006
,1962,3,-1.207
,1962,4,1.666
,1962,5,-0.753
,1962,6,-0.025
,1962,7,-0.897
,1962,8,0.255
,1962,9,-1.186
,1962,10,-0.522
,1962,11,0.993
,1962,12,0.405
,1963,1,-1.698
,1963,2,3.071
,1963,3,-0.559
,1963,4,-1.675
,1963,5,-0.403
,1963,6,-0.554
,1963,7,-0.522
,1963,8,0.034
,1963,9,1.104
,1963,10,0.157
,1963,11,-0.549
,1963,12,-2.111
,1964,1,-0.262
,1964,2,-0.214
,1964,3,-0.733
,1964,4,-0.393
,1964,5,-1.735
,1964,6,-0.698
,1964,7,-0.025
,1964,8,0.308
,1964,9,-0.619
,1964,10,1.188
,1964,11,-1.354
,1964,12,1.734
,1965,1,0.303
,1965,2,-0.303
,1965,3,-0.003
,1965,4,0.056
,1965,5,-0.453
,1965,6,-1.947
,1965,7,-1.010
,1965,8,0.678
,1965,9,-1.871
,1965,10,1.444
,1965,11,0.789
,1965,12,-2.115
,1966,1,0.076
,1966,2,-1.278
,1966,3,0.165
,1966,4,2.457
,1966,5,0.207
,1966,6,0.712
,1966,7,-1.137
,1966,8,0.472
,1966,9,0.217
,1966,10,0.301
,1966,11,0.687
,1966,12,0.288
,1967,1,0.698
,1967,2,-0.464
,1967,3,-0.707
,1967,4,-3.801
,1967,5,0.089
,1967,6,-1.404
,1967,7,0.559
,1967,8,1.022
,1967,9,1.316
,1967,10,1.240
,1967,11,1.952
,1967,12,-0.664
,1968,1,-0.862
,1968,2,2.006
,1968,3,1.222
,1968,4,0.862
,1968,5,-0.585
,1968,6,0.897
,1968,7,0.102
,1968,8,-0.042
,1968,9,0.338
,1968,10,-0.648
,1968,11,-0.301
,1968,12,-1.128
,1969,1,-0.806
,1969,2,-1.654
,1969,3,-0.277
,1969,4,-0.395
,1969,5,0.746
,1969,6,-0.708
,1969,7,0.176
,1969,8,1.176
,1969,9,0.474
,1969,10,-0.811
,1969,11,0.565
,1969,12,1.891
,1970,1,2.182
,1970,2,1.358
,1970,3,1.358
,1970,4,-1.132
,1970,5,1.160
,1970,6,-0.370
,1970,7,0.223
,1970,8,-0.787
,1970,9,0.444
,1970,10,-1.441
,1970,11,0.929
,1970,12,-0.291
,1971,1,0.124
,1971,2,-0.829
,1971,3,-0.534
,1971,4,-1.235
,1971,5,-1.475
,1971,6,-0.628
,1971,7,-0.115
,1971,8,1.018
,1971,9,0.842
,1971,10,-1.768
,1971,11,-0.645
,1971,12,-1.642
,1972,1,-1.747
,1972,2,0.211
,1972,3,2.132
,1972,4,0.071
,1972,5,0.447
,1972,6,0.064
,1972,7,0.521
,1972,8,0.413
,1972,9,-1.101
,1972,10,-0.496
,1972,11,-1.253
,1972,12,-2.524
,1973,1,-0.243
,1973,2,0.660
,1973,3,-1.151
,1973,4,1.160
,1973,5,1.052
,1973,6,1.751
,1973,7,-0.198
,1973,8,-1.040
,1973,9,-0.673
,1973,10,-0.547
,1973,11,-0.503
,1973,12,0.701
,1974,1,0.374
,1974,2,-1.113
,1974,3,0.138
,1974,4,-0.474
,1974,5,-0.612
,1974,6,0.126
,1974,7,0.096
,1974,8,0.056
,1974,9,-0.084
,1974,10,0.699
,1974,11,-0.258
,1974,12,-0.185
,1975,1,-0.331
,1975,2,-0.433
,1975,3,-0.832
,1975,4,-2.611
,1975,5,0.568
,1975,6,-0.728
,1975,7,-0.878
,1975,8,-0.443
,1975,9,-0.565
,1975,10,-1.412
,1975,11,-1.125
,1975,12,0.462
,1976,1,0.538
,1976,2,-0.200
,1976,3,-0.640
,1976,4,-0.996
,1976,5,0.778
,1976,6,0.883
,1976,7,0.072
,1976,8,-0.396
,1976,9,-0.188
,1976,10,0.823
,1976,11,1.559
,1976,12,0.257
,1977,1,-0.702
,1977,2,1.048
,1977,3,-0.871
,1977,4,1.280
,1977,5,-2.038
,1977,6,0.183
,1977,7,-0.092
,1977,8,0.393
,1977,9,-0.779
,1977,10,0.095
,1977,11,0.709
,1977,12,2.186
,1978,1,2.469
,1978,2,0.628
,1978,3,2.318
,1978,4,-0.438
,1978,5,1.680
,1978,6,-0.139
,1978,7,-0.116
,1978,8,0.471
,1978,9,0.376
,1978,10,0.922
,1978,11,-1.169
,1978,12,-1.930
,1979,1,-0.201
,1979,2,-0.862
,1979,3,0.594
,1979,4,0.068
,1979,5,1.239
,1979,6,0.460
,1979,7,0.464
,1979,8,-0.124
,1979,9,1.871
,1979,10,0.606
,1979,11,-0.153
,1979,12,1.233
,1980,1,1.413
,1980,2,1.675
,1980,3,0.246
,1980,4,0.479
,1980,5,-0.995
,1980,6,-1.338
,1980,7,0.066
,1980,8,-1.011
,1980,9,-0.760
,1980,10,0.599
,1980,11,0.794
,1980,12,0.935
,1981,1,1.418
,1981,2,1.157
,1981,3,0.087
,1981,4,1.047
,1981,5,0.633
,1981,6,2.894
,1981,7,-0.422
,1981,8,-0.157
,1981,9,-0.433
,1981,10,-1.483
,1981,11,1.316
,1981,12,1.798
,1982,1,-1.564
,1982,2,0.534
,1982,3,-0.851
,1982,4,-0.244
,1982,5,0.017
,1982,6,-1.858
,1982,7,-1.007
,1982,8,-0.297
,1982,9,-0.352
,1982,10,-0.139
,1982,11,-1.602
,1982,12,0.128
,1983,1,-0.144
,1983,2,0.756
,1983,3,0.414
,1983,4,-0.687
,1983,5,0.035
,1983,6,0.088
,1983,7,-0.184
,1983,8,0.954
,1983,9,1.494
,1983,10,1.162
,1983,11,-0.217
,1983,12,1.576
,1984,1,0.764
,1984,2,-0.384
,1984,3,1.883
,1984,4,-0.222
,1984,5,1.755
,1984,6,-0.299
,1984,7,1.331
,1984,8,0.510
,1984,9,2.451
,1984,10,-1.222
,1984,11,-0.923
,1984,12,-0.942
,1985,1,-1.326
,1985,2,0.277
,1985,3,-1.287
,1985,4,1.966
,1985,5,-0.413
,1985,6,1.678
,1985,7,0.899
,1985,8,-0.460
,1985,9,-1.381
,1985,10,-0.625
,1985,11,-1.840
,1985,12,-1.288
,1986,1,2.581
,1986,2,1.818
,1986,3,2.376
,1986,4,0.653
,1986,5,0.320
,1986,6,0.381
,1986,7,-0.392
,1986,8,-0.475
,1986,9,-2.251
,1986,10,0.132
,1986,11,1.211
,1986,12,-0.098
,1987,1,-0.268
,1987,2,0.461
,1987,3,0.475
,1987,4,2.485
,1987,5,1.763
,1987,6,0.156
,1987,7,-1.259
,1987,8,-0.034
,1987,9,-0.238
,1987,10,1.388
,1987,11,0.269
,1987,12,-0.004
,1988,1,0.605
,1988,2,1.445
,1988,3,2.062
,1988,4,1.316
,1988,5,0.046
,1988,6,0.189
,1988,7,1.508
,1988,8,0.286
,1988,9,-0.535
,1988,10,0.143
,1988,11,0.185
,1988,12,0.160
,1989,1,-0.665
,1989,2,-2.268
,1989,3,0.705
,1989,4,2.478
,1989,5,0.314
,1989,6,0.228
,1989,7,0.069
,1989,8,-0.285
,1989,9,-1.204
,1989,10,-0.273
,1989,11,0.682
,1989,12,-0.323
,1990,1,0.502
,1990,2,-1.791
,1990,3,0.483
,1990,4,2.225
,1990,5,0.248
,1990,6,0.485
,1990,7,0.724
,1990,8,1.003
,1990,9,0.748
,1990,10,1.149
,1990,11,0.070
,1990,12,-2.439
,1991,1,0.437
,1991,2,1.819
,1991,3,-1.497
,1991,4,-0.269
,1991,5,-1.297
,1991,6,-1.487
,1991,7,-0.015
,1991,8,-0.452
,1991,9,0.360
,1991,10,1.702
,1991,11,1.003
,1991,12,0.020
,1992,1,-0.837
,1992,2,1.746
,1992,3,1.663
,1992,4,2.683
,1992,5,2.662
,1992,6,0.213
,1992,7,0.683
,1992,8,0.976
,1992,9,0.467
,1992,10,1.718
,1992,11,0.787
,1992,12,-0.678
,1993,1,-0.392
,1993,2,-0.555
,1993,3,2.025
,1993,4,0.749
,1993,5,0.886
,1993,6,1.562
,1993,7,0.184
,1993,8,1.068
,1993,9,-0.120
,1993,10,0.855
,1993,11,-0.086
,1993,12,-0.525
,1994,1,0.844
,1994,2,-1.197
,1994,3,1.615
,1994,4,0.755
,1994,5,-0.252
,1994,6,0.151
,1994,7,-0.873
,1994,8,0.551
,1994,9,-0.025
,1994,10,-0.310
,1994,11,-3.065
,1994,12,-1.448
,1995,1,1.957
,1995,2,1.229
,1995,3,0.122
,1995,4,0.095
,1995,5,-0.936
,1995,6,-0.474
,1995,7,0.976
,1995,8,1.047
,1995,9,0.250
,1995,10,1.157
,1995,11,2.463
,1995,12,2.065
,1996,1,1.299
,1996,2,1.332
,1996,3,1.525
,1996,4,1.924
,1996,5,1.145
,1996,6,0.820
,1996,7,1.780
,1996,8,1.332
,1996,9,-0.570
,1996,10,-0.194
,1996,11,0.519
,1996,12,1.938
,1997,1,0.860
,1997,2,0.822
,1997,3,2.189
,1997,4,1.752
,1997,5,3.467
,1997,6,0.661
,1997,7,0.646
,1997,8,0.881
,1997,9,1.844
,1997,10,-0.007
,1997,11,1.222
,1997,12,0.107
,1998,1,1.545
,1998,2,-0.600
,1998,3,0.707
,1998,4,-0.213
,1998,5,-2.193
,1998,6,-1.205
,1998,7,0.446
,1998,8,1.874
,1998,9,0.439
,1998,10,-0.799
,1998,11,-0.463
,1998,12,-1.165
,1999,1,0.335
,1999,2,-1.049
,1999,3,-1.435
,1999,4,-0.155
,1999,5,-1.186
,1999,6,-0.409
,1999,7,-0.693
,1999,8,-0.062
,1999,9,0.507
,1999,10,1.571
,1999,11,1.146
,1999,12,1.178
,2000,1,1.748
,2000,2,0.553
,2000,3,0.856
,2000,4,1.638
,2000,5,1.220
,2000,6,1.473
,2000,7,-0.906
,2000,8,0.544
,2000,9,0.675
,2000,10,-0.912
,2000,11,-1.956
,2000,12,1.180
,2001,1,0.054
,2001,2,-0.896
,2001,3,1.955
,2001,4,-1.052
,2001,5,4.125
,2001,6,2.038
,2001,7,-0.081
,2001,8,0.419
,2001,9,-0.367
,2001,10,1.205
,2001,11,1.024
,2001,12,0.568
,2002,1,-0.265
,2002,2,0.662
,2002,3,-0.038
,2002,4,0.467
,2002,5,-0.047
,2002,6,0.630
,2002,7,0.752
,2002,8,0.374
,2002,9,0.984
,2002,10,-0.148
,2002,11,1.219
,2002,12,1.253
,2003,1,3.077
,2003,2,0.036
,2003,3,1.509
,2003,4,-1.539
,2003,5,0.552
,2003,6,0.966
,2003,7,2.041
,2003,8,0.871
,2003,9,1.521
,2003,10,1.894
,2003,11,-1.194
,2003,12,0.877
,2004,1,0.467
,2004,2,-0.282
,2004,3,4.055
,2004,4,2.303
,2004,5,1.058
,2004,6,0.434
,2004,7,0.520
,2004,8,0.931
,2004,9,1.249
,2004,10,-0.892
,2004,11,-0.833
,2004,12,0.648
,2005,1,0.046
,2005,2,1.124
,2005,3,1.802
,2005,4,-0.084
,2005,5,0.751
,2005,6,-0.504
,2005,7,1.943
,2005,8,0.990
,2005,9,-1.389
,2005,10,-0.183
,2005,11,1.318
,2005,12,1.834
,2006,1,1.518
,2006,2,0.698
,2006,3,-1.954
,2006,4,-0.239
,2006,5,1.421
,2006,6,2.010
,2006,7,2.957
,2006,8,0.010
,2006,9,-0.238
,2006,10,-0.671
,2006,11,0.145
,2006,12,0.445
,2007,1,-0.313
,2007,2,-0.032
,2007,3,2.194
,2007,4,0.923
,2007,5,0.978
,2007,6,0.679
,2007,7,0.770
,2007,8,1.083
,2007,9,-0.561
,2007,10,-1.119
,2007,11,0.929
,2007,12,-0.605
,2008,1,-0.408
,2008,2,-0.331
,2008,3,0.417
,2008,4,0.167
,2008,5,0.962
,2008,6,1.422
,2008,7,0.812
,2008,8,1.361
,2008,9,0.863
,2008,10,0.944
,2008,11,1.519
,2008,12,-0.827
,2009,1,1.656
,2009,2,-0.390
,2009,3,0.216
,2009,4,0.454
,2009,5,1.502
,2009,6,0.250
,2009,7,0.391
,2009,8,1.059
,2009,9,1.819
,2009,10,-0.616
,2009,11,0.069
,2009,12,-0.515
,2010,1,1.063
,2010,2,0.672
,2010,3,0.354
,2010,4,-0.950
,2010,5,-1.175
,2010,6,0.610
,2010,7,-0.367
,2010,8,-0.715
,2010,9,0.873
,2010,10,0.163
,2010,11,-0.185
,2010,12,1.412
,2011,1,0.704
,2011,2,-0.985
,2011,3,-0.077
,2011,4,0.015
,2011,5,-1.172
,2011,6,-0.490
,2011,7,0.210
,2011,8,-0.040
,2011,9,1.367
,2011,10,0.741
,2011,11,-0.929
,2011,12,0.193
,2012,1,1.429
,2012,2,0.362
,2012,3,-0.421
,2012,4,0.806
,2012,5,0.911
,2012,6,0.508
,2012,7,0.106
,2012,8,0.720
,2012,9,-0.573
,2012,10,0.661
,2012,11,1.121
,2012,12,0.551
,2013,1,-0.164
,2013,2,-0.444
,2013,3,1.501
,2013,4,2.595
,2013,5,1.714
,2013,6,1.598
,2013,7,0.866
,2013,8,0.552
,2013,9,0.346
,2013,10,-0.492
,2013,11,0.933
,2013,12,-0.093
,2014,1,3.357
,2014,2,1.100
,2014,3,2.585
,2014,4,1.831
,2014,5,2.426
,2014,6,1.355
,2014,7,1.897
,2014,8,1.270
,2014,9,1.194
,2014,10,2.257
,2014,11,1.663
,2014,12,2.938
,2015,1,2.450
,2015,2,3.087
,2015,3,3.800
,2015,4,1.577
,2015,5,-0.465
,2015,6,1.959
,2015,7,1.875
,2015,8,2.159
,2015,9,2.008
,2015,10,2.735
,2015,11,-0.688
,2015,12,0.133
,2016,1,1.833
,2016,2,2.706
,2016,3,1.796
,2016,4,2.429
,2016,5,1.342
,2016,6,2.022
,2016,7,0.874
,2016,8,0.227
,2016,9,0.471
,2016,10,-0.015
,2016,11,1.182
,2016,12,0.087
,2017,1,0.199
,2017,2,0.664
,2017,3,1.930
,2017,4,1.155
,2017,5,1.508
,2017,6,1.860
,2017,7,1.947
,2017,8,1.793
,2017,9,2.272
,2017,10,1.074
,2017,11,1.093
,2017,12,1.395
,2018,1,2.281
,2018,2,0.827
,2018,3,0.153
,2018,4,0.917
,2018,5,0.265
,2018,6,1.273
,2018,7,1.919
,2018,8,0.608
,2018,9,-0.167
,2018,10,1.005
,2018,11,1.544
,2018,12,1.342
,2019,1,2.357
,2019,2,-1.857
,2019,3,0.353
,2019,4,2.385
,2019,5,-0.434
,2019,6,2.274
,2019,7,1.148
,2019,8,2.530
,2019,9,1.288
,2019,10,0.484
,2019,11,0.945
,2019,12,1.516
,2020,1,1.296
,2020,2,1.834
,2020,3,0.148
,2020,4,1.422
,2020,5,2.520
,2020,6,2.134
,2020,7,1.030
,2020,8,2.974
,2020,9,2.502
,2020,10,3.207
,2020,11,0.199
,2020,12,1.480